	id	name	metacyc_id	kegg_id	seed_id	metanetx_id	metacyc_from_bigg	iML1515	iYO844	iAF692	metacyc_id_iML1515	kegg_id_iML1515	seed_id_iML1515	metanetx_id_iML1515	metacyc_id_iYO844	kegg_id_iYO844	seed_id_iYO844	metanetx_id_iYO844	metacyc_id_iAF692	kegg_id_iAF692	seed_id_iAF692	metanetx_id_iAF692
1294	ARGDCpp	Arginine decarboxylase	ARGDECARBOX-RXN	R00566	rxn00405	MNXR95940	ARGDECARBOX-RXN	iML1515			['META:ARGDECARBOX-RXN']	['R00566']	['rxn00405']	['MNXR95940']								
3518	ARGDr		ARGININE-DEIMINASE-RXN	R00552	rxn00395	MNXR95941	ARGININE-DEIMINASE-RXN			iAF692									['META:ARGININE-DEIMINASE-RXN']	['R00552']	['rxn00395']	['MNXR95941']
2830	ARGKr		ARGININE-KINASE-RXN	R00554	rxn00396	MNXR95943	ARGININE-KINASE-RXN		iYO844						['META:ARGININE-KINASE-RXN']	['R00554']	['rxn00396']	['MNXR95943']				
2858	ARGN_1		ARGINASE-RXN	R00551	rxn00394	MNXR95945	ARGINASE-RXN		iYO844						['META:ARGINASE-RXN']	['R00551']	['rxn00394']	['MNXR95945']				
1537	ARGORNt7pp	Arginine/ornithine antiporter (periplasm)			rxn10131; rxn08153	MNXR95946		iML1515					['rxn08153', 'rxn10131']	['MNXR95946']								
2831	ARGPt6				rxn05502	MNXR95947			iYO844								['rxn05502']	['MNXR95947']				
617	ARGSL	Argininosuccinate lyase	ARGSUCCINLYA-RXN	R01086	rxn00802	MNXR138059	ARGSUCCINLYA-RXN	iML1515	iYO844	iAF692	['META:ARGSUCCINLYA-RXN']	['R01086']	['rxn00802']	['MNXR138059']	['META:ARGSUCCINLYA-RXN']	['R01086']	['rxn00802']	['MNXR138059']	['META:ARGSUCCINLYA-RXN']	['R01086']	['rxn00802']	['MNXR138059']
255	ARGSS	Argininosuccinate synthase	ARGSUCCINSYN-RXN	R01954	rxn01434	MNXR138060		iML1515	iYO844	iAF692	['META:ARGSUCCINSYN-RXN']	['R01954']	['rxn01434']	['MNXR138060']	['META:ARGSUCCINSYN-RXN']	['R01954']	['rxn01434']	['MNXR138060']	['META:ARGSUCCINSYN-RXN']	['R01954']	['rxn01434']	['MNXR138060']
3522	ARGTRS			R03646	rxn06432	MNXR95950				iAF692										['R03646']	['rxn06432']	['MNXR95950']
2881	ARGabc		ABC-4-RXN		rxn08151; rxn05154; rxn11236	MNXR95952	ABC-4-RXN		iYO844						['META:ABC-4-RXN']		['rxn08151', 'rxn11236', 'rxn05154']	['MNXR95952']				
809	ARGabcpp	L-arginine transport via ABC system (periplasm)	ABC-4-RXN		rxn08151; rxn05154; rxn11236	MNXR95952	ABC-4-RXN	iML1515			['META:ABC-4-RXN']		['rxn08151', 'rxn11236', 'rxn05154']	['MNXR95952']								
2882	ARGt2r				rxn09783; rxn05303	MNXR95953			iYO844								['rxn05303', 'rxn09783']	['MNXR95953']				
2252	ARGt3pp	L-arginine transport out via proton antiport (cytoplasm to periplasm)			rxn13228; rxn08154	MNXR95954		iML1515					['rxn13228', 'rxn08154']	['MNXR95954']								
1320	ARGtex	L-arginine transport via diffusion (extracellular to periplasm)	RXN66-448		rxn08155; rxn10840	MNXR95951	RXN66-448	iML1515			['META:RXN66-448']		['rxn10840', 'rxn08155']	['MNXR95951']								
2613	ARHGDx	(R)-alpha-hydroxyglutarate dehydrogenase						iML1515														
2665	ARMEPNS	?-D-ribose 1-methylphosphonate 5-triphosphate synthase						iML1515														
2883	ARSENBabc					MNXR95961			iYO844									['MNXR95961']				
2886	ARSENBt2					MNXR95962			iYO844									['MNXR95962']				
2877	ARSNAt1					MNXR95963			iYO844									['MNXR95963']				
2880	ARSt1					MNXR95965			iYO844									['MNXR95965']				
542	ASAD	Aspartate-semialdehyde dehydrogenase	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	R02291	rxn01643	MNXR96039	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	iML1515	iYO844	iAF692	['META:ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN']	['R02291']	['rxn01643']	['MNXR96039']	['META:ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN']	['R02291']	['rxn01643']	['MNXR96039']	['META:ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN']	['R02291']	['rxn01643']	['MNXR96039']
553	ASCBPL	L-ascorbate 6-phosphate lactonase	RXN0-5214	R07677	rxn07492	MNXR138067		iML1515			['META:RXN0-5214']	['R07677']	['rxn07492']	['MNXR138067']								
817	ASCBptspp	L-ascorbate transport via PEP:Pyr PTS (periplasm)			rxn13758; rxn08158	MNXR138069		iML1515					['rxn08158', 'rxn13758']	['MNXR138069']								
1322	ASCBtex	L-ascorbate transport via diffusion (extracellular to periplasm)			rxn08159	MNXR138070		iML1515					['rxn08159']	['MNXR138070']								
3524	ASD		RXN-14406		rxn10440	MNXR96051	RXN-14406			iAF692									['META:RXN-14406']		['rxn10440']	['MNXR96051']
404	ASNN	L-asparaginase	ASPARAGHYD-RXN	R00485	rxn00342	MNXR96056		iML1515	iYO844	iAF692	['META:ASPARAGHYD-RXN']	['R00485']	['rxn00342']	['MNXR96056']	['META:ASPARAGHYD-RXN']	['R00485']	['rxn00342']	['MNXR96056']	['META:ASPARAGHYD-RXN']	['R00485']	['rxn00342']	['MNXR96056']
1252	ASNNpp	L-asparaginase	ASPARAGHYD-RXN	R00485	rxn00342	MNXR96056		iML1515			['META:ASPARAGHYD-RXN']	['R00485']	['rxn00342']	['MNXR96056']								
1971	ASNS1	Asparagine synthase (glutamine-hydrolysing)	ASNSYNB-RXN	R00578	rxn11214; rxn00416	MNXR96059		iML1515	iYO844	iAF692	['META:ASNSYNB-RXN']	['R00578']	['rxn00416', 'rxn11214']	['MNXR96059']	['META:ASNSYNB-RXN']	['R00578']	['rxn00416', 'rxn11214']	['MNXR96059']	['META:ASNSYNB-RXN']	['R00578']	['rxn00416', 'rxn11214']	['MNXR96059']
407	ASNS2	Asparagine synthetase	ASNSYNA-RXN	R00483	rxn00340	MNXR96060		iML1515			['META:ASNSYNA-RXN']	['R00483']	['rxn00340']	['MNXR96060']								
2861	ASNt2r		TRANS-RXN-262		rxn09782; rxn08161; rxn05508; rxn13230; rxn11321	MNXR96066	TRANS-RXN-262		iYO844						['META:TRANS-RXN-262']		['rxn09782', 'rxn05508', 'rxn08161', 'rxn11321', 'rxn13230']	['MNXR96066']				
819	ASNt2rpp	L-asparagine reversible transport via proton symport (periplasm)	TRANS-RXN-262		rxn09782; rxn08161; rxn05508; rxn13230; rxn11321	MNXR96066	TRANS-RXN-262	iML1515			['META:TRANS-RXN-262']		['rxn09782', 'rxn05508', 'rxn08161', 'rxn11321', 'rxn13230']	['MNXR96066']								
1934	ASNtex	L-asparagine transport via diffusion (extracellular to periplasm)			rxn05220; rxn08162	MNXR96069		iML1515					['rxn05220', 'rxn08162']	['MNXR96069']								
1482	ASO3t8pp	Arsenite efflux via ATP hydrolysis (periplasm)	3.6.3.16-RXN		rxn08163	MNXR96072		iML1515			['META:3.6.3.16-RXN']		['rxn08163']	['MNXR96072']								
1306	ASO3tex	Arsenite transport via diffusion (extracellular to periplasm)	TRANS-RXN0-551		rxn05507; rxn08164	MNXR96073		iML1515			['META:TRANS-RXN0-551']		['rxn05507', 'rxn08164']	['MNXR96073']								
509	ASP1DC	Aspartate 1-decarboxylase	ASPDECARBOX-RXN	R00489	rxn00346	MNXR96077		iML1515	iYO844	iAF692	['META:ASPDECARBOX-RXN']	['R00489']	['rxn00346']	['MNXR96077']	['META:ASPDECARBOX-RXN']	['R00489']	['rxn00346']	['MNXR96077']	['META:ASPDECARBOX-RXN']	['R00489']	['rxn00346']	['MNXR96077']
408	ASPCT	Aspartate carbamoyltransferase	ASPCARBTRANS-RXN	R01397	rxn01018	MNXR96080		iML1515	iYO844	iAF692	['META:ASPCARBTRANS-RXN']	['R01397']	['rxn01018']	['MNXR96080']	['META:ASPCARBTRANS-RXN']	['R01397']	['rxn01018']	['MNXR96080']	['META:ASPCARBTRANS-RXN']	['R01397']	['rxn01018']	['MNXR96080']
541	ASPK	Aspartate kinase	ASPARTATEKIN-RXN	R00480	rxn00337	MNXR96085		iML1515	iYO844	iAF692	['META:ASPARTATEKIN-RXN']	['R00480']	['rxn00337']	['MNXR96085']	['META:ASPARTATEKIN-RXN']	['R00480']	['rxn00337']	['MNXR96085']	['META:ASPARTATEKIN-RXN']	['R00480']	['rxn00337']	['MNXR96085']
2892	ASPO1			R00357	rxn00262	MNXR96088			iYO844							['R00357']	['rxn00262']	['MNXR96088']				
906	ASPO3	L-aspartate oxidase			rxn08166	MNXR96091		iML1515					['rxn08166']	['MNXR96091']								
908	ASPO4	L-aspartate oxidase			rxn08167	MNXR96092		iML1515					['rxn08167']	['MNXR96092']								
907	ASPO5	L-aspartate oxidase	RXN-9772		rxn08168	MNXR96093		iML1515			['META:RXN-9772']		['rxn08168']	['MNXR96093']								
912	ASPO6	L-aspartate oxidase	L-ASPARTATE-OXID-RXN	R00481	rxn00338	MNXR96094		iML1515	iYO844		['META:L-ASPARTATE-OXID-RXN']	['R00481']	['rxn00338']	['MNXR96094']	['META:L-ASPARTATE-OXID-RXN']	['R00481']	['rxn00338']	['MNXR96094']				
200	ASPT	L-aspartase	ASPARTASE-RXN	R00490	rxn00347	MNXR96099		iML1515	iYO844		['META:ASPARTASE-RXN']	['R00490']	['rxn00347']	['MNXR96099']	['META:ASPARTASE-RXN']	['R00490']	['rxn00347']	['MNXR96099']				
33	ASPTA	Aspartate transaminase	ASPAMINOTRANS-RXN; RXN-13697	R00355	rxn00260	MNXR96079		iML1515	iYO844	iAF692	['META:RXN-13697', 'META:ASPAMINOTRANS-RXN']	['R00355']	['rxn00260']	['MNXR96079']	['META:RXN-13697', 'META:ASPAMINOTRANS-RXN']	['R00355']	['rxn00260']	['MNXR96079']	['META:RXN-13697', 'META:ASPAMINOTRANS-RXN']	['R00355']	['rxn00260']	['MNXR96079']
3431	ASPTRS			R05577	rxn06936	MNXR96101				iAF692										['R05577']	['rxn06936']	['MNXR96101']
820	ASPabcpp	L-aspartate transport via ABC system (periplasm)	TRANS-RXN0-222		rxn08165; rxn05152	MNXR96103		iML1515			['META:TRANS-RXN0-222']		['rxn05152', 'rxn08165']	['MNXR96103']								
825	ASPt2_2pp	Aspartate transport via proton symport (2 H) (periplasm)	TRANS-RXN-122A		rxn10151; rxn08169	MNXR96104		iML1515			['META:TRANS-RXN-122A']		['rxn08169', 'rxn10151']	['MNXR96104']								
830	ASPt2_3pp	L-asparate transport via proton symport (3 H) (periplasm)			rxn10155	MNXR96105		iML1515					['rxn10155']	['MNXR96105']								
821	ASPt2pp	L-aspartate transport in via proton symport (periplasm)			rxn13233; rxn05217; rxn09825; rxn09781	MNXR96106		iML1515					['rxn09781', 'rxn05217', 'rxn09825', 'rxn13233']	['MNXR96106']								
2862	ASPt2r				rxn13233; rxn05217; rxn09825; rxn09781	MNXR96106			iYO844								['rxn09781', 'rxn05217', 'rxn09825', 'rxn13233']	['MNXR96106']				
873	ASPtex	L-aspartate transport via diffusion (extracellular to periplasm)	TRANS-RXN0-554		rxn13232; rxn10906; rxn08170	MNXR96107		iML1515			['META:TRANS-RXN0-554']		['rxn10906', 'rxn08170', 'rxn13232']	['MNXR96107']								
2660	ASPtpp	L-aspartate uptake via facillitated diffusion						iML1515														
1305	ASR	Arsenate reductase			rxn08171	MNXR96113		iML1515					['rxn08171']	['MNXR96113']								
415	AST	Arginine succinyltransferase	ARGININE-N-SUCCINYLTRANSFERASE-RXN	R00832	rxn00601	MNXR96115	ARGININE-N-SUCCINYLTRANSFERASE-RXN	iML1515			['META:ARGININE-N-SUCCINYLTRANSFERASE-RXN']	['R00832']	['rxn00601']	['MNXR96115']								
3432	ATGH				rxn10441	MNXR96120				iAF692											['rxn10441']	['MNXR96120']
2142	ATHRDHr	L-allo-threonine dehydrogenase	RXN-16000	R10851	rxn08172	MNXR96121	RXN-16000	iML1515			['META:RXN-16000']	['R10851']	['rxn08172']	['MNXR96121']								
3433	ATIH				rxn10442	MNXR96122				iAF692											['rxn10442']	['MNXR96122']
1219	ATPHs	ATP amine hydrolysis (spontaneous)	ATP-DEAMINASE-RXN	R00088	rxn00064	MNXR96130	ATP-DEAMINASE-RXN	iML1515			['META:ATP-DEAMINASE-RXN']	['R00088']	['rxn00064']	['MNXR96130']								
1434	ATPM	ATP maintenance requirement	ATPASE-RXN	R00086	rxn11300; rxn00062; rxn09694	MNXR96131	ATPASE-RXN	iML1515	iYO844	iAF692	['META:ATPASE-RXN']	['R00086']	['rxn11300', 'rxn09694', 'rxn00062']	['MNXR96131']	['META:ATPASE-RXN']	['R00086']	['rxn11300', 'rxn09694', 'rxn00062']	['MNXR96131']	['META:ATPASE-RXN']	['R00086']	['rxn11300', 'rxn09694', 'rxn00062']	['MNXR96131']
517	ATPPRT	ATP phosphoribosyltransferase	ATPPHOSPHORIBOSYLTRANS-RXN	R01071	rxn00789	MNXR96132		iML1515	iYO844	iAF692	['META:ATPPHOSPHORIBOSYLTRANS-RXN']	['R01071']	['rxn00789']	['MNXR96132']	['META:ATPPHOSPHORIBOSYLTRANS-RXN']	['R01071']	['rxn00789']	['MNXR96132']	['META:ATPPHOSPHORIBOSYLTRANS-RXN']	['R01071']	['rxn00789']	['MNXR96132']
3434	ATPS1		3.6.3.6-RXN		rxn10443	MNXR96133	3.6.3.6-RXN			iAF692									['META:3.6.3.6-RXN']		['rxn10443']	['MNXR96133']
2895	ATPS4r		ATPSYN-RXN		rxn08173; rxn10042	MNXR96136	ATPSYN-RXN		iYO844	iAF692					['META:ATPSYN-RXN']		['rxn08173', 'rxn10042']	['MNXR96136']	['META:ATPSYN-RXN']		['rxn08173', 'rxn10042']	['MNXR96136']
798	ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	ATPSYN-RXN		rxn08173; rxn10042	MNXR96136	ATPSYN-RXN	iML1515			['META:ATPSYN-RXN']		['rxn08173', 'rxn10042']	['MNXR96136']								
3435	ATRZCH		3.8.1.8-RXN	R05558	rxn06933	MNXR96141	3.8.1.8-RXN			iAF692									['META:3.8.1.8-RXN']	['R05558']	['rxn06933']	['MNXR96141']
3436	ATSH				rxn10444	MNXR96143				iAF692											['rxn10444']	['MNXR96143']
3437	BACCL		RXN0-7192		rxn00792	MNXR138107	RXN0-7192			iAF692											['rxn00792']	['MNXR138107']
2297	BALAt2pp	Beta-alanine transport in via proton symport (periplasm)	RXN0-5201		rxn05495; rxn08174	MNXR96212	RXN0-5201	iML1515			['META:RXN0-5201']		['rxn05495', 'rxn08174']	['MNXR96212']								
3296	BALAt2r		RXN0-5201		rxn05495; rxn08174	MNXR96212	RXN0-5201		iYO844						['META:RXN0-5201']		['rxn05495', 'rxn08174']	['MNXR96212']				
1309	BALAtex	Beta-alanine transport via diffusion (extracellular to periplasm)			rxn08175	MNXR95682		iML1515					['rxn08175']	['MNXR95682']								
455	BETALDHx	Betaine-aldehyde dehydrogenase	BADH-RXN	R02565	rxn01867	MNXR96237	BADH-RXN	iML1515	iYO844		['META:BADH-RXN']	['R02565']	['rxn01867']	['MNXR96237']	['META:BADH-RXN']	['R02565']	['rxn01867']	['MNXR96237']				
456	BETALDHy	Betaine-aldehyde dehydrogenase		R02566	rxn01868	MNXR96238		iML1515				['R02566']	['rxn01868']	['MNXR96238']								
2249	BGLA1	6-phospho-beta-glucosidase				MNXR96242		iML1515	iYO844					['MNXR96242']				['MNXR96242']				
2896	BG_CELLB		RXN-10773	R00306; R06104		MNXR96241			iYO844						['META:RXN-10773']	['R00306', 'R06104']		['MNXR96241']				
2899	BG_MADG				rxn09978	MNXR142673			iYO844								['rxn09978']	['MNXR142673']				
2900	BG_MBDG				rxn09979	MNXR96248			iYO844								['rxn09979']	['MNXR96248']				
2901	BILEt4				rxn05510	MNXR96254			iYO844								['rxn05510']	['MNXR96254']				
2867	BIOMASS_BS_10					MNXR138113			iYO844									['MNXR138113']				
2669	BIOMASS_Ec_iML1515_WT_75p37M	E. coli biomass objective function (iML1515) - WT - with 75.37 GAM estimate						iML1515														
2668	BIOMASS_Ec_iML1515_core_75p37M	E. coli biomass objective function (iML1515) - core - with 75.37 GAM estimate						iML1515														
3641	BIOMASS_Mb_30					MNXR96285				iAF692												['MNXR96285']
2904	BLACT			R06363		MNXR96309			iYO844							['R06363']		['MNXR96309']				
3439	BLAT				rxn10445	MNXR96310				iAF692											['rxn10445']	['MNXR96310']
2399	BMOCOS	Bis-molybdenum cofactor synthase				MNXR138144		iML1515						['MNXR138144']								
2706	BMOGDS1	Bis-molybdopterin guanine dinucleotide synthase (single GDP)				MNXR96315		iML1515						['MNXR96315']								
2709	BMOGDS2	Bis-molybdopterin guanine dinucleotide synthase				MNXR96316		iML1515						['MNXR96316']								
538	BPNT	3',5'-bisphosphate nucleotidase	325-BISPHOSPHATE-NUCLEOTIDASE-RXN	R00188	rxn00137; rxn11357	MNXR96321	325-BISPHOSPHATE-NUCLEOTIDASE-RXN	iML1515			['META:325-BISPHOSPHATE-NUCLEOTIDASE-RXN']	['R00188']	['rxn00137', 'rxn11357']	['MNXR96321']								
3442	BRFAPS				rxn10446	MNXR96323				iAF692											['rxn10446']	['MNXR96323']
697	BSORx	Biotin sulfoxide reductase			rxn08178	MNXR96325		iML1515					['rxn08178']	['MNXR96325']								
665	BSORy	Biotin sulfoxide reductase		R10127	rxn08179	MNXR96326		iML1515				['R10127']	['rxn08179']	['MNXR96326']								
2903	BTDD_RR		RR-BUTANEDIOL-DEHYDROGENASE-RXN			MNXR96327	RR-BUTANEDIOL-DEHYDROGENASE-RXN		iYO844									['MNXR96327']				
2868	BTDt6_RR					MNXR96328			iYO844									['MNXR96328']				
3444	BTNt2i				rxn09693	MNXR96334				iAF692											['rxn09693']	['MNXR96334']
2465	BTNt2ipp	Biotin transport via proton symport (periplasm)			rxn09693	MNXR96334		iML1515					['rxn09693']	['MNXR96334']								
2467	BTNtex	Biotin transport via diffusion (extracellular to periplasm)	TRANS-RXN0-240			MNXR96333	TRANS-RXN0-240	iML1515			['META:TRANS-RXN0-240']			['MNXR96333']								
3449	BTS3r					MNXR138148				iAF692												['MNXR138148']
2430	BTS5	Biotin synthase				MNXR96344		iML1515						['MNXR96344']								
2906	BTS_1					MNXR138148			iYO844									['MNXR138148']				
333	BUTCT	Acetyl-CoA:butyrate-CoA transferase	R11-RXN			MNXR96217	R11-RXN	iML1515						['MNXR96217']								
2910	BUTKr		BUTYRATE-KINASE-RXN			MNXR96349	BUTYRATE-KINASE-RXN		iYO844									['MNXR96349']				
926	BUTSO3abcpp	Butanesulfonate transport via ABC system (periplasm)			rxn08181; rxn05512	MNXR96350		iML1515					['rxn05512', 'rxn08181']	['MNXR96350']								
998	BUTSO3tex	Butanesulfonate transport via diffusion (extracellular to periplasm)			rxn08182	MNXR96351		iML1515					['rxn08182']	['MNXR96351']								
2911	BUTSabc				rxn08181; rxn05512	MNXR96350			iYO844								['rxn05512', 'rxn08181']	['MNXR96350']				
958	BUTt2rpp	Butyrate transport via proton symport, reversible (periplasm)				MNXR96353		iML1515						['MNXR96353']								
1339	BUTtex	Butyrate transport via diffusion (extracellular to periplasm)				MNXR96352		iML1515						['MNXR96352']								
2403	BWCOGDS1	Tungsten bispterin guanine dinucleotide synthase (single GDP)				MNXR96356		iML1515						['MNXR96356']								
2404	BWCOGDS2	Tungsten bispterin guanine dinucleotide synthase				MNXR96357		iML1515						['MNXR96357']								
2400	BWCOS	Tungsten bispterin cofactor synthase				MNXR138151		iML1515						['MNXR138151']								
3454	CA2abc		TRANS-RXN-193		rxn10447	MNXR96434				iAF692									['META:TRANS-RXN-193']		['rxn10447']	['MNXR96434']
2913	CA2abc1		3.6.3.8-RXN; TRANS-RXN-194		rxn05513	MNXR96435	TRANS-RXN-194		iYO844						['META:TRANS-RXN-194', 'META:3.6.3.8-RXN']		['rxn05513']	['MNXR96435']				
2244	CA2t3pp	Calcium (Ca+2) transport out via proton antiport (periplasm)			rxn05514; rxn08185	MNXR96437		iML1515					['rxn05514', 'rxn08185']	['MNXR96437']								
1958	CA2tex	Calcium (Ca+2) transport via diffusion (extracellular to periplasm)	TRANS-RXN-144; TRANS-RXN0-497		rxn08186	MNXR96436	TRANS-RXN-144; TRANS-RXN0-497	iML1515			['META:TRANS-RXN0-497', 'META:TRANS-RXN-144']		['rxn08186']	['MNXR96436']								
959	CADVtpp	Lysine/Cadaverine antiporter (periplasm)			rxn10148; rxn08187	MNXR96445		iML1515					['rxn08187', 'rxn10148']	['MNXR96445']								
640	CAT	Catalase	CATAL-RXN	R00009	rxn00006	MNXR96455	CATAL-RXN	iML1515	iYO844	iAF692	['META:CATAL-RXN']	['R00009']	['rxn00006']	['MNXR96455']	['META:CATAL-RXN']	['R00009']	['rxn00006']	['MNXR96455']	['META:CATAL-RXN']	['R00009']	['rxn00006']	['MNXR96455']
2914	CAt4				rxn05514; rxn08185	MNXR96437			iYO844								['rxn05514', 'rxn08185']	['MNXR96437']				
3455	CAt6				rxn10448; rxn08188	MNXR96460				iAF692											['rxn08188', 'rxn10448']	['MNXR96460']
2225	CAt6pp	Calcium / sodium antiporter (1:1)			rxn10448; rxn08188	MNXR96460		iML1515					['rxn08188', 'rxn10448']	['MNXR96460']								
1371	CBIAT	Cobinamide adenyltransferase	BTUR2-RXN			MNXR96465		iML1515		iAF692	['META:BTUR2-RXN']			['MNXR96465']					['META:BTUR2-RXN']			['MNXR96465']
3456	CBIabc		TRANS-RXN-296			MNXR96467	TRANS-RXN-296			iAF692									['META:TRANS-RXN-296']			['MNXR96467']
2612	CBItonex	Cobinamide transport via ton system (extermal)				MNXR96468		iML1515						['MNXR96468']								
1199	CBIuabcpp	Cobinamide transport via ABC system (uptake, periplasm)	TRANS-RXN-296			MNXR96467	TRANS-RXN-296	iML1515			['META:TRANS-RXN-296']			['MNXR96467']								
3457	CBL1HBIabc				rxn10450	MNXR96470				iAF692											['rxn10450']	['MNXR96470']
3458	CBL1abc		ABC-5-RXN			MNXR96471	ABC-5-RXN			iAF692									['META:ABC-5-RXN']			['MNXR96471']
774	CBL1abcpp	Cob(1)alamin transport via ABC system (periplasm)	ABC-5-RXN			MNXR96471	ABC-5-RXN	iML1515			['META:ABC-5-RXN']			['MNXR96471']								
2611	CBL1tonex	Cob(1)alamin transport via ton system (extermal)				MNXR96472		iML1515						['MNXR96472']								
2920	CBL2abc				rxn05515	MNXR96474			iYO844								['rxn05515']	['MNXR96474']				
1086	CBLAT	Cob(I)alamin adenosyltransferase	COBALADENOSYLTRANS-RXN	R01492		MNXR96476		iML1515			['META:COBALADENOSYLTRANS-RXN']	['R01492']		['MNXR96476']								
3460	CBLAT2				rxn10451	MNXR96477				iAF692											['rxn10451']	['MNXR96477']
3464	CBLD					MNXR96479				iAF692												['MNXR96479']
2415	CBMD	Carbamate deaminase	RXN0-5222	R07316	rxn05064	MNXR96481	RXN0-5222	iML1515			['META:RXN0-5222']	['R07316']	['rxn05064']	['MNXR96481']								
583	CBMKr	Carbamate kinase	CARBAMATE-KINASE-RXN	R00150	rxn00114	MNXR96482		iML1515			['META:CARBAMATE-KINASE-RXN']	['R00150']	['rxn00114']	['MNXR96482']								
618	CBPS	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	CARBPSYN-RXN	R00575	rxn00414	MNXR96485		iML1515	iYO844	iAF692	['META:CARBPSYN-RXN']	['R00575']	['rxn00414']	['MNXR96485']	['META:CARBPSYN-RXN']	['R00575']	['rxn00414']	['MNXR96485']	['META:CARBPSYN-RXN']	['R00575']	['rxn00414']	['MNXR96485']
2375	CCGS	7-cyano-7-carbaguanine synthase	RXN-12093	R09978		MNXR96492	RXN-12093	iML1515			['META:RXN-12093']	['R09978']		['MNXR96492']								
2924	CD2abc1		3.6.3.3-RXN; 3.6.3.46-RXN		rxn05516; rxn08195	MNXR96495	RXN-21035; 3.6.3.3-RXN		iYO844	iAF692					['META:3.6.3.3-RXN', 'META:3.6.3.46-RXN']		['rxn05516', 'rxn08195']	['MNXR96495']	['META:3.6.3.3-RXN', 'META:3.6.3.46-RXN']		['rxn05516', 'rxn08195']	['MNXR96495']
3470	CD2abc2				rxn10453	MNXR96496				iAF692											['rxn10453']	['MNXR96496']
1583	CD2abcpp	Cadmium (Cd+2) ABC transporter (periplasm)	3.6.3.3-RXN; 3.6.3.46-RXN		rxn05516; rxn08195	MNXR96495	RXN-21035; 3.6.3.3-RXN	iML1515			['META:3.6.3.3-RXN', 'META:3.6.3.46-RXN']		['rxn05516', 'rxn08195']	['MNXR96495']								
1150	CD2t3pp	Cadmium (Cd+2) transport out via proton antiport (periplasm)	TRANS-RXN0-244		rxn08196; rxn13814	MNXR96497	TRANS-RXN0-244	iML1515			['META:TRANS-RXN0-244']		['rxn13814', 'rxn08196']	['MNXR96497']								
2921	CD2t4				rxn05517	MNXR96498			iYO844								['rxn05517']	['MNXR96498']				
1359	CD2tex	Cadmium (Cd+2) transport via diffusion (extracellular to periplasm)	RXN0-10		rxn08197; rxn08198	MNXR96499	RXN0-10	iML1515			['META:RXN0-10']		['rxn08198', 'rxn08197']	['MNXR96499']								
2328	CD2tpp	Cadmium (+2) transport in via permease (no H+)	RXN0-10		rxn08197; rxn08198	MNXR96499	RXN0-10	iML1515			['META:RXN0-10']		['rxn08198', 'rxn08197']	['MNXR96499']								
2198	CDAPPA120	CDP-Diacylglycerol pyrophostatase (n-C12:0)			rxn08199	MNXR96500		iML1515					['rxn08199']	['MNXR96500']								
2007	CDAPPA140	CDP-Diacylglycerol pyrophostatase (n-C14:0)			rxn08200	MNXR96501		iML1515					['rxn08200']	['MNXR96501']								
1895	CDAPPA141	CDP-Diacylglycerol pyrophostatase (n-C14:1)			rxn08201	MNXR96502		iML1515					['rxn08201']	['MNXR96502']								
1894	CDAPPA160	CDP-Diacylglycerol pyrophostatase (n-C16:0)			rxn08202	MNXR96503		iML1515					['rxn08202']	['MNXR96503']								
1721	CDAPPA161	CDP-Diacylglycerol pyrophostatase (n-C16:1)			rxn08203	MNXR96505		iML1515					['rxn08203']	['MNXR96505']								
2025	CDAPPA180	CDP-Diacylglycerol pyrophostatase (n-C18:0)			rxn08204	MNXR96506		iML1515					['rxn08204']	['MNXR96506']								
2029	CDAPPA181	CDP-Diacylglycerol pyrophostatase (n-C18:1)			rxn08205	MNXR96507		iML1515					['rxn08205']	['MNXR96507']								
3472	CDGGGPP3					MNXR96512				iAF692												['MNXR96512']
3475	CDGGGPP4					MNXR96513				iAF692												['MNXR96513']
3483	CDGGGS				rxn10456	MNXR96514				iAF692											['rxn10456']	['MNXR96514']
3484	CDGGGS2				rxn10457	MNXR96515				iAF692											['rxn10457']	['MNXR96515']
3489	CDGGGSAT				rxn10458	MNXR96516				iAF692											['rxn10458']	['MNXR96516']
3494	CDGGGSAT2				rxn10459	MNXR96517				iAF692											['rxn10459']	['MNXR96517']
3497	CDGGIPT				rxn10460	MNXR96518				iAF692											['rxn10460']	['MNXR96518']
3501	CDGGIPT2				rxn10461	MNXR96519				iAF692											['rxn10461']	['MNXR96519']
2925	CDGPT_BS					MNXR142707			iYO844									['MNXR142707']				
2394	CDGR	7-cyano-7-deazaguanine reductase	RXN0-4022	R07605		MNXR96521	RXN0-4022	iML1515			['META:RXN0-4022']	['R07605']		['MNXR96521']								
2406	CDGS	7-deaza-7-carboxyguanine synthase	RXN0-6575	R10002		MNXR96522	RXN0-6575	iML1515			['META:RXN0-6575']	['R10002']		['MNXR96522']								
2341	CDGUNPD	3,5-cyclic-nucleotide phosphodiesterase				MNXR96524		iML1515						['MNXR96524']								
